lr,mean,step,Accuracy
0.0005,4.345994530720313,500,0.8318593224722006
0.000525,4.345994530720313,500,0.8335660718903543
0.00055,4.345994530720313,500,0.834755624515128
0.000575,4.345994530720313,500,0.8358934574605638
0.0006,4.345994530720313,500,0.8372381691233515
0.000625,4.345994530720313,500,0.838841479182829
0.00065,4.345994530720313,500,0.8409619860356866
0.000675,4.345994530720313,500,0.8420480993017844
0.0007,4.345994530720313,500,0.843289371605896
0.000725,4.345994530720313,500,0.8439100077579519
0.00075,4.345994530720313,500,0.8446340832686837
0.000775,4.345994530720313,500,0.8454098784587536
0.0008,4.345994530720313,500,0.8462891130074993
0.000825,4.345994530720313,500,0.8471166278769071
0.00085,4.345994530720313,500,0.847737264028963
0.000875,4.345994530720313,500,0.8488233772950607
0.0009,4.345994530720313,500,0.8496508921644685
0.000925,4.345994530720313,500,0.8501680889578485
0.00095,4.345994530720313,500,0.8509956038272563
0.000975,4.345994530720313,500,0.85192655805534
0.001,4.345994530720313,500,0.8529609516420998
0.00103,4.345994530720313,500,0.8541505042668736
0.00105,4.345994530720313,500,0.8544608223429014
0.00108,4.345994530720313,500,0.8549262994569433
0.0011,4.345994530720313,500,0.8550297388156194
0.00113,4.345994530720313,500,0.8553400568916473
0.00115,4.345994530720313,500,0.8554952159296613
0.00118,4.345994530720313,500,0.8554952159296613
0.0012,4.345994530720313,500,0.8555469356089992
0.00123,4.345994530720313,500,0.8555469356089992
0.00125,4.345994530720313,500,0.8551848978536333
0.00128,4.345994530720313,500,0.8510990431859322
0.0013,4.345994530720313,500,0.8460822342901474
0.00133,4.345994530720313,500,0.8289113007499354
0.00135,4.345994530720313,500,0.812774760796483
0.00138,4.345994530720313,500,0.7889319886216706
0.0014,4.345994530720313,500,0.7751745539177657
0.00143,4.345994530720313,500,0.7586242565296095
0.00145,4.345994530720313,500,0.7483837600206878
0.00148,4.345994530720313,500,0.7357124385828808
0.0015,4.345994530720313,500,0.7270752521334368
0.00153,4.345994530720313,500,0.7167313162658392
0.00155,4.345994530720313,500,0.7108869925006465
0.00158,4.345994530720313,500,0.7026635634859064
0.0016,4.345994530720313,500,0.6979053529868114
0.00163,4.345994530720313,500,0.6927851047323507
0.00165,4.345994530720313,500,0.6895267649340574
0.00168,4.345994530720313,500,0.6847168347556245
0.0017,4.345994530720313,500,0.6827514869407809
0.00173,4.345994530720313,500,0.6793379881044738
0.00175,4.345994530720313,500,0.6776829583656582
0.00178,4.345994530720313,500,0.6759762089475045
0.0018,4.345994530720313,500,0.6745280579260409
0.00183,4.345994530720313,500,0.6728730281872253
0.00185,4.345994530720313,500,0.6717869149211275
0.00188,4.345994530720313,500,0.6703904835790018
0.0019,4.345994530720313,500,0.669718127747608
0.00193,4.345994530720313,500,0.6684251357641583
